取得時刻,職業,定員,開始,終了,体験時間,残席
2026/07/10 15:30:58,②[引越=ひっこし]マスター,5,15:30,16:14,45,5
2026/07/10 15:30:58,②[引越=ひっこし]マスター,5,16:15,16:59,45,5
2026/07/10 15:30:58,②[引越=ひっこし]マスター,5,17:00,17:44,45,5
2026/07/10 15:30:58,②[引越=ひっこし]マスター,5,17:45,18:29,45,5
2026/07/10 15:30:58,②[引越=ひっこし]マスター,5,18:30,19:14,45,5
2026/07/10 15:30:58,②[引越=ひっこし]マスター,5,19:15,19:59,45,5
2026/07/10 15:30:58,③カードクター,4,18:30,18:59,30,4
2026/07/10 15:30:58,③カードクター,4,19:00,19:29,30,4
2026/07/10 15:30:58,③カードクター,4,19:30,19:59,30,4
2026/07/10 15:30:58,④キャビンアテンダント,3,15:30,15:59,30,1
2026/07/10 15:30:58,④キャビンアテンダント,3,16:00,16:29,30,3
2026/07/10 15:30:58,④キャビンアテンダント,3,16:30,16:59,30,3
2026/07/10 15:30:58,④キャビンアテンダント,3,17:00,17:29,30,3
2026/07/10 15:30:58,④キャビンアテンダント,3,17:30,17:59,30,3
2026/07/10 15:30:58,④パイロット,6,15:30,15:59,30,0
2026/07/10 15:30:58,④パイロット,6,16:00,16:29,30,6
2026/07/10 15:30:58,④パイロット,6,16:30,16:59,30,6
2026/07/10 15:30:58,④パイロット,6,17:00,17:29,30,6
2026/07/10 15:30:58,④パイロット,6,17:30,17:59,30,6
2026/07/10 15:30:58,⑤スペースセンタークルー,6,15:30,15:59,30,6
2026/07/10 15:30:58,⑤スペースセンタークルー,6,16:00,16:29,30,6
2026/07/10 15:30:58,⑤スペースセンタークルー,6,16:30,16:59,30,6
2026/07/10 15:30:58,⑤スペースセンタークルー,6,17:00,17:29,30,6
2026/07/10 15:30:58,⑥ロードサービス[隊員=たいいん],4,18:00,18:29,30,4
2026/07/10 15:30:58,⑥ロードサービス[隊員=たいいん],4,18:30,18:59,30,4
2026/07/10 15:30:58,⑥ロードサービス[隊員=たいいん],4,19:00,19:29,30,4
2026/07/10 15:30:58,⑥ロードサービス[隊員=たいいん],4,19:30,19:59,30,4
2026/07/10 15:30:58,⑧[建設=けんせつ]エンジニア,4,15:30,15:59,30,4
2026/07/10 15:30:58,⑧[建設=けんせつ]エンジニア,4,16:00,16:29,30,4
2026/07/10 15:30:58,⑧[建設=けんせつ]エンジニア,4,16:30,16:59,30,4
2026/07/10 15:30:58,⑧[建設=けんせつ]エンジニア,4,17:00,17:29,30,4
2026/07/10 15:30:58,⑧[建設=けんせつ]エンジニア,4,18:00,18:29,30,4
2026/07/10 15:30:58,⑧[建設=けんせつ]エンジニア,4,18:30,18:59,30,4
2026/07/10 15:30:58,⑧[建設=けんせつ]エンジニア,4,19:00,19:29,30,4
2026/07/10 15:30:58,⑧[建設=けんせつ]エンジニア,4,19:30,19:59,30,4
2026/07/10 15:30:58,⑨[警察官=けいさつかん],6,15:30,15:59,30,3
2026/07/10 15:30:58,⑨[警察官=けいさつかん],6,16:00,16:29,30,6
2026/07/10 15:30:58,⑨[警察官=けいさつかん],6,16:30,16:59,30,5
2026/07/10 15:30:58,⑨[警察官=けいさつかん],6,17:00,17:29,30,6
2026/07/10 15:30:58,⑩[自衛隊員=じえいたいいん],5,18:00,18:29,30,5
2026/07/10 15:30:58,⑩[自衛隊員=じえいたいいん],5,18:30,18:59,30,5
2026/07/10 15:30:58,⑩[自衛隊員=じえいたいいん],5,19:00,19:29,30,5
2026/07/10 15:30:58,⑩[自衛隊員=じえいたいいん],5,19:30,19:59,30,5
2026/07/10 15:30:58,⑪ドライバー/メカニック,4,16:30,16:59,30,4
2026/07/10 15:30:58,⑪ドライバー/メカニック,4,17:00,17:29,30,4
2026/07/10 15:30:58,⑪ドライバー/メカニック,4,17:30,17:59,30,4
2026/07/10 15:30:58,⑫ラジオパーソナリティ,6,15:30,15:59,30,6
2026/07/10 15:30:58,⑫ラジオパーソナリティ,6,16:00,16:29,30,6
2026/07/10 15:30:58,⑫ラジオパーソナリティ,6,16:30,16:59,30,6
2026/07/10 15:30:58,⑫ラジオパーソナリティ,6,18:00,18:29,30,6
2026/07/10 15:30:58,⑫ラジオパーソナリティ,6,18:30,18:59,30,6
2026/07/10 15:30:58,⑫ラジオパーソナリティ,6,19:00,19:29,30,6
2026/07/10 15:30:58,⑫ラジオパーソナリティ,6,19:30,19:59,30,6
2026/07/10 15:30:58,⑭ダンサー,4,16:30,16:54,25,2
2026/07/10 15:30:58,⑭ダンサー,4,18:00,18:24,25,4
2026/07/10 15:30:58,⑮[弁護士=べんごし],6,17:00,17:44,45,6
2026/07/10 15:30:58,⑯お医者さん,4,18:30,18:59,30,4
2026/07/10 15:30:58,⑯お医者さん,4,19:00,19:29,30,4
2026/07/10 15:30:58,⑯お医者さん,4,19:30,19:59,30,4
2026/07/10 15:30:58,⑰[助産師=じょさんし],4,18:05,18:29,25,4
2026/07/10 15:30:58,⑰[助産師=じょさんし],4,18:35,18:59,25,4
2026/07/10 15:30:58,⑰[助産師=じょさんし],4,19:05,19:29,25,4
2026/07/10 15:30:58,⑰[助産師=じょさんし],4,19:35,19:59,25,4
