取得時刻,職業,定員,開始,終了,体験時間,残席
2026/07/06 18:30:56,②[引越=ひっこし]マスター,5,18:30,19:14,45,5
2026/07/06 18:30:56,②[引越=ひっこし]マスター,5,19:15,19:59,45,4
2026/07/06 18:30:56,③カードクター,4,17:00,17:29,30,4
2026/07/06 18:30:56,③カードクター,4,17:30,17:59,30,2
2026/07/06 18:30:56,③カードクター,4,18:00,18:29,30,4
2026/07/06 18:30:56,④キャビンアテンダント,3,15:30,15:59,30,2
2026/07/06 18:30:56,④キャビンアテンダント,3,16:00,16:29,30,3
2026/07/06 18:30:56,④パイロット,6,15:30,15:59,30,5
2026/07/06 18:30:56,④パイロット,6,16:00,16:29,30,6
2026/07/06 18:30:56,④パイロット,6,16:30,16:59,30,3
2026/07/06 18:30:56,⑤スペースセンタークルー,6,19:00,19:29,30,6
2026/07/06 18:30:56,⑤スペースセンタークルー,6,19:30,19:59,30,6
2026/07/06 18:30:56,⑥ロードサービス[隊員=たいいん],4,15:30,15:59,30,4
2026/07/06 18:30:56,⑥ロードサービス[隊員=たいいん],4,16:00,16:29,30,4
2026/07/06 18:30:56,⑧[建設=けんせつ]エンジニア,4,18:00,18:29,30,2
2026/07/06 18:30:56,⑧[建設=けんせつ]エンジニア,4,18:30,18:59,30,4
2026/07/06 18:30:56,⑨[警察官=けいさつかん],6,15:30,15:59,30,2
2026/07/06 18:30:56,⑨[警察官=けいさつかん],6,16:00,16:29,30,3
2026/07/06 18:30:56,⑨[警察官=けいさつかん],6,16:30,16:59,30,4
2026/07/06 18:30:56,⑨[警察官=けいさつかん],6,17:00,17:29,30,5
2026/07/06 18:30:56,⑩[自衛隊員=じえいたいいん],5,18:00,18:29,30,5
2026/07/06 18:30:56,⑩[自衛隊員=じえいたいいん],5,18:30,18:59,30,5
2026/07/06 18:30:56,⑩[自衛隊員=じえいたいいん],5,19:00,19:29,30,5
2026/07/06 18:30:56,⑩[自衛隊員=じえいたいいん],5,19:30,19:59,30,5
2026/07/06 18:30:56,⑪ドライバー/メカニック,4,16:30,16:59,30,4
2026/07/06 18:30:56,⑪ドライバー/メカニック,4,17:00,17:29,30,4
2026/07/06 18:30:56,⑪ドライバー/メカニック,4,17:30,17:59,30,4
2026/07/06 18:30:56,⑫ラジオパーソナリティ,6,15:30,15:59,30,6
2026/07/06 18:30:56,⑫ラジオパーソナリティ,6,16:00,16:29,30,6
2026/07/06 18:30:56,⑫ラジオパーソナリティ,6,16:30,16:59,30,6
