取得時刻,職業,定員,開始,終了,体験時間,残席
2026/07/06 17:30:55,②[引越=ひっこし]マスター,5,18:30,19:14,45,5
2026/07/06 17:30:55,②[引越=ひっこし]マスター,5,19:15,19:59,45,4
2026/07/06 17:30:55,③カードクター,4,17:00,17:29,30,4
2026/07/06 17:30:55,③カードクター,4,17:30,17:59,30,2
2026/07/06 17:30:55,③カードクター,4,18:00,18:29,30,4
2026/07/06 17:30:55,④キャビンアテンダント,3,15:30,15:59,30,2
2026/07/06 17:30:55,④キャビンアテンダント,3,16:00,16:29,30,3
2026/07/06 17:30:55,④パイロット,6,15:30,15:59,30,5
2026/07/06 17:30:55,④パイロット,6,16:00,16:29,30,6
2026/07/06 17:30:55,④パイロット,6,16:30,16:59,30,3
2026/07/06 17:30:55,⑤スペースセンタークルー,6,19:00,19:29,30,6
2026/07/06 17:30:55,⑤スペースセンタークルー,6,19:30,19:59,30,6
2026/07/06 17:30:55,⑥ロードサービス[隊員=たいいん],4,15:30,15:59,30,4
2026/07/06 17:30:55,⑥ロードサービス[隊員=たいいん],4,16:00,16:29,30,4
2026/07/06 17:30:55,⑧[建設=けんせつ]エンジニア,4,18:00,18:29,30,2
2026/07/06 17:30:55,⑧[建設=けんせつ]エンジニア,4,18:30,18:59,30,4
2026/07/06 17:30:55,⑨[警察官=けいさつかん],6,15:30,15:59,30,2
2026/07/06 17:30:55,⑨[警察官=けいさつかん],6,16:00,16:29,30,3
2026/07/06 17:30:55,⑨[警察官=けいさつかん],6,16:30,16:59,30,4
2026/07/06 17:30:55,⑨[警察官=けいさつかん],6,17:00,17:29,30,5
2026/07/06 17:30:55,⑩[自衛隊員=じえいたいいん],5,18:00,18:29,30,5
2026/07/06 17:30:55,⑩[自衛隊員=じえいたいいん],5,18:30,18:59,30,5
2026/07/06 17:30:55,⑩[自衛隊員=じえいたいいん],5,19:00,19:29,30,5
2026/07/06 17:30:55,⑩[自衛隊員=じえいたいいん],5,19:30,19:59,30,5
2026/07/06 17:30:55,⑪ドライバー/メカニック,4,16:30,16:59,30,4
2026/07/06 17:30:55,⑪ドライバー/メカニック,4,17:00,17:29,30,4
2026/07/06 17:30:55,⑪ドライバー/メカニック,4,17:30,17:59,30,4
2026/07/06 17:30:55,⑫ラジオパーソナリティ,6,15:30,15:59,30,6
2026/07/06 17:30:55,⑫ラジオパーソナリティ,6,16:00,16:29,30,6
2026/07/06 17:30:55,⑫ラジオパーソナリティ,6,16:30,16:59,30,6
2026/07/06 17:30:55,⑭ダンサー,4,15:30,15:54,25,4
2026/07/06 17:30:55,⑭ダンサー,4,16:00,16:24,25,4
2026/07/06 17:30:55,⑭ダンサー,4,16:30,16:54,25,4
2026/07/06 17:30:55,⑮[弁護士=べんごし],6,17:00,17:44,45,6
2026/07/06 17:30:55,⑯お医者さん,4,15:30,15:59,30,4
2026/07/06 17:30:55,⑯お医者さん,4,16:00,16:29,30,3
2026/07/06 17:30:55,⑰[助産師=じょさんし],4,16:35,16:59,25,2
2026/07/06 17:30:55,⑰[助産師=じょさんし],4,17:05,17:29,25,2
2026/07/06 17:30:55,⑱セキュリティスタッフ,5,15:30,15:59,30,5
2026/07/06 17:30:55,⑱セキュリティスタッフ,5,16:00,16:29,30,3
2026/07/06 17:30:55,⑱セキュリティスタッフ,5,17:00,17:29,30,5
