取得時刻,職業,定員,開始,終了,体験時間,残席
2026/07/05 18:00:53,②[引越=ひっこし]マスター,5,15:30,16:14,45,0
2026/07/05 18:00:53,②[引越=ひっこし]マスター,5,16:15,16:59,45,0
2026/07/05 18:00:53,②[引越=ひっこし]マスター,5,17:00,17:44,45,0
2026/07/05 18:00:53,②[引越=ひっこし]マスター,5,17:45,18:29,45,0
2026/07/05 18:00:53,②[引越=ひっこし]マスター,5,18:30,19:14,45,0
2026/07/05 18:00:53,②[引越=ひっこし]マスター,5,19:15,19:59,45,0
2026/07/05 18:00:53,③カードクター,4,15:30,15:59,30,4
2026/07/05 18:00:53,③カードクター,4,16:00,16:29,30,4
2026/07/05 18:00:53,③カードクター,4,16:30,16:59,30,3
2026/07/05 18:00:53,④キャビンアテンダント,3,15:30,15:59,30,0
2026/07/05 18:00:53,④キャビンアテンダント,3,16:00,16:29,30,0
2026/07/05 18:00:53,④キャビンアテンダント,3,16:30,16:59,30,0
2026/07/05 18:00:53,④キャビンアテンダント,3,17:00,17:29,30,0
2026/07/05 18:00:53,④キャビンアテンダント,3,17:30,17:59,30,0
2026/07/05 18:00:53,④キャビンアテンダント,3,18:00,18:29,30,0
2026/07/05 18:00:53,④キャビンアテンダント,3,18:30,18:59,30,0
2026/07/05 18:00:53,④キャビンアテンダント,3,19:00,19:29,30,0
2026/07/05 18:00:53,④キャビンアテンダント,3,19:30,19:59,30,0
2026/07/05 18:00:53,④パイロット,6,15:30,15:59,30,0
2026/07/05 18:00:53,④パイロット,6,16:00,16:29,30,0
2026/07/05 18:00:53,④パイロット,6,16:30,16:59,30,0
2026/07/05 18:00:53,④パイロット,6,17:00,17:29,30,0
2026/07/05 18:00:53,④パイロット,6,17:30,17:59,30,0
2026/07/05 18:00:53,④パイロット,6,18:00,18:29,30,0
2026/07/05 18:00:53,④パイロット,6,18:30,18:59,30,0
2026/07/05 18:00:53,④パイロット,6,19:00,19:29,30,0
2026/07/05 18:00:53,④パイロット,6,19:30,19:59,30,0
2026/07/05 18:00:53,⑤スペースセンタークルー,6,16:00,16:29,30,0
2026/07/05 18:00:53,⑤スペースセンタークルー,6,16:30,16:59,30,0
2026/07/05 18:00:53,⑤スペースセンタークルー,6,17:00,17:29,30,0
2026/07/05 18:00:53,⑥ロードサービス[隊員=たいいん],4,15:30,15:59,30,4
2026/07/05 18:00:53,⑥ロードサービス[隊員=たいいん],4,16:00,16:29,30,3
2026/07/05 18:00:53,⑥ロードサービス[隊員=たいいん],4,16:30,16:59,30,3
2026/07/05 18:00:53,⑥ロードサービス[隊員=たいいん],4,17:00,17:29,30,0
2026/07/05 18:00:53,⑥ロードサービス[隊員=たいいん],4,17:30,17:59,30,0
2026/07/05 18:00:53,⑧[建設=けんせつ]エンジニア,4,17:00,17:29,30,0
2026/07/05 18:00:53,⑧[建設=けんせつ]エンジニア,4,17:30,17:59,30,0
2026/07/05 18:00:53,⑧[建設=けんせつ]エンジニア,4,18:00,18:29,30,0
2026/07/05 18:00:53,⑨[警察官=けいさつかん],6,15:30,15:59,30,0
2026/07/05 18:00:53,⑨[警察官=けいさつかん],6,16:00,16:29,30,1
2026/07/05 18:00:53,⑨[警察官=けいさつかん],6,16:30,16:59,30,0
2026/07/05 18:00:53,⑨[警察官=けいさつかん],6,17:00,17:29,30,1
2026/07/05 18:00:53,⑨[警察官=けいさつかん],6,17:30,17:59,30,0
2026/07/05 18:00:53,⑨[警察官=けいさつかん],6,18:00,18:29,30,0
2026/07/05 18:00:53,⑨[警察官=けいさつかん],6,18:30,18:59,30,0
2026/07/05 18:00:53,⑨[警察官=けいさつかん],6,19:00,19:29,30,0
2026/07/05 18:00:53,⑨[警察官=けいさつかん],6,19:30,19:59,30,0
2026/07/05 18:00:53,⑩[自衛隊員=じえいたいいん],5,15:30,15:59,30,4
2026/07/05 18:00:53,⑩[自衛隊員=じえいたいいん],5,16:00,16:29,30,4
2026/07/05 18:00:53,⑩[自衛隊員=じえいたいいん],5,16:30,16:59,30,2
2026/07/05 18:00:53,⑩[自衛隊員=じえいたいいん],5,17:00,17:29,30,0
2026/07/05 18:00:53,⑩[自衛隊員=じえいたいいん],5,17:30,17:59,30,0
2026/07/05 18:00:53,⑪ドライバー/メカニック,4,15:30,15:59,30,0
2026/07/05 18:00:53,⑪ドライバー/メカニック,4,16:00,16:29,30,4
2026/07/05 18:00:53,⑫ラジオパーソナリティ,6,18:00,18:29,30,0
2026/07/05 18:00:53,⑫ラジオパーソナリティ,6,18:30,18:59,30,0
2026/07/05 18:00:53,⑫ラジオパーソナリティ,6,19:00,19:29,30,0
2026/07/05 18:00:53,⑫ラジオパーソナリティ,6,19:30,19:59,30,0
2026/07/05 18:00:53,⑭ダンサー,4,15:30,15:54,25,4
2026/07/05 18:00:53,⑭ダンサー,4,16:00,16:24,25,3
2026/07/05 18:00:53,⑭ダンサー,4,16:30,16:54,25,3
2026/07/05 18:00:53,⑮[弁護士=べんごし],6,17:00,17:44,45,4
2026/07/05 18:00:53,⑯お医者さん,4,15:30,15:59,30,2
2026/07/05 18:00:53,⑯お医者さん,4,16:00,16:29,30,3
2026/07/05 18:00:53,⑯お医者さん,4,16:30,16:59,30,1
2026/07/05 18:00:53,⑯お医者さん,4,17:00,17:29,30,0
2026/07/05 18:00:53,⑯お医者さん,4,17:30,17:59,30,0
2026/07/05 18:00:53,⑰[助産師=じょさんし],4,16:35,16:59,25,0
2026/07/05 18:00:53,⑰[助産師=じょさんし],4,17:05,17:29,25,0
2026/07/05 18:00:53,⑰[助産師=じょさんし],4,17:35,17:59,25,0
2026/07/05 18:00:53,⑱セキュリティスタッフ,5,15:30,15:59,30,5
2026/07/05 18:00:53,⑱セキュリティスタッフ,5,16:00,16:29,30,4
2026/07/05 18:00:53,⑱セキュリティスタッフ,5,17:00,17:29,30,2
2026/07/05 18:00:53,⑱セキュリティスタッフ,5,18:00,18:29,30,0
2026/07/05 18:00:53,⑱セキュリティスタッフ,5,19:00,19:29,30,0
2026/07/05 18:00:53,⑱セキュリティスタッフ 救命,5,16:30,16:59,30,3
2026/07/05 18:00:53,⑱セキュリティスタッフ 救命,5,17:30,17:59,30,0
2026/07/05 18:00:53,⑱セキュリティスタッフ 救命,5,18:30,18:59,30,0
2026/07/05 18:00:53,⑱セキュリティスタッフ 救命,5,19:30,19:59,30,0
2026/07/05 18:00:53,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,17:10,17:29,20,0
2026/07/05 18:00:53,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,17:30,17:49,20,0
2026/07/05 18:00:53,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,17:50,18:09,20,0
2026/07/05 18:00:53,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,18:10,18:29,20,0
2026/07/05 18:00:53,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,18:30,18:49,20,0
2026/07/05 18:00:53,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,18:50,19:09,20,0
2026/07/05 18:00:53,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,19:10,19:29,20,0
2026/07/05 18:00:53,⑲[月面基地開発=げつめんきちかいはつ]プロジェクト,2,19:30,19:49,20,0
2026/07/05 18:00:53,⑳シニアケア[相談員=そうだんいん],4,18:00,18:29,30,0
2026/07/05 18:00:53,⑳シニアケア[相談員=そうだんいん],4,18:30,18:59,30,0
