取得時刻,職業,定員,開始,終了,体験時間,残席
2026/07/09 09:30:53,②[引越=ひっこし]マスター,5,10:00,10:44,45,5
2026/07/09 09:30:53,②[引越=ひっこし]マスター,5,10:45,11:29,45,5
2026/07/09 09:30:53,②[引越=ひっこし]マスター,5,11:30,12:14,45,5
2026/07/09 09:30:53,②[引越=ひっこし]マスター,5,12:15,12:59,45,5
2026/07/09 09:30:53,②[引越=ひっこし]マスター,5,13:00,13:44,45,5
2026/07/09 09:30:53,②[引越=ひっこし]マスター,5,13:45,14:29,45,5
2026/07/09 09:30:53,③カードクター,4,10:00,10:29,30,4
2026/07/09 09:30:53,③カードクター,4,10:30,10:59,30,4
2026/07/09 09:30:53,③カードクター,4,11:00,11:29,30,4
2026/07/09 09:30:53,③カードクター,4,11:30,11:59,30,4
2026/07/09 09:30:53,③カードクター,4,12:00,12:29,30,4
2026/07/09 09:30:53,③カードクター,4,12:30,12:59,30,4
2026/07/09 09:30:53,③カードクター,4,13:00,13:29,30,4
2026/07/09 09:30:53,③カードクター,4,13:30,13:59,30,4
2026/07/09 09:30:53,④キャビンアテンダント,3,10:00,10:29,30,3
2026/07/09 09:30:53,④キャビンアテンダント,3,10:30,10:59,30,3
2026/07/09 09:30:53,④キャビンアテンダント,3,11:00,11:29,30,3
2026/07/09 09:30:53,④キャビンアテンダント,3,11:30,11:59,30,3
2026/07/09 09:30:53,④キャビンアテンダント,3,12:00,12:29,30,3
2026/07/09 09:30:53,④キャビンアテンダント,3,12:30,12:59,30,3
2026/07/09 09:30:53,④キャビンアテンダント,3,13:00,13:29,30,3
2026/07/09 09:30:53,④キャビンアテンダント,3,13:30,13:59,30,3
2026/07/09 09:30:53,④パイロット,6,10:00,10:29,30,6
2026/07/09 09:30:53,④パイロット,6,10:30,10:59,30,6
2026/07/09 09:30:53,④パイロット,6,11:00,11:29,30,6
2026/07/09 09:30:53,④パイロット,6,11:30,11:59,30,6
2026/07/09 09:30:53,④パイロット,6,12:00,12:29,30,6
2026/07/09 09:30:53,④パイロット,6,12:30,12:59,30,6
2026/07/09 09:30:53,④パイロット,6,13:00,13:29,30,6
2026/07/09 09:30:53,④パイロット,6,13:30,13:59,30,6
2026/07/09 09:30:53,④パイロット,6,14:00,14:29,30,6
2026/07/09 09:30:53,⑤スペースセンタークルー,6,10:00,10:29,30,6
2026/07/09 09:30:53,⑤スペースセンタークルー,6,10:30,10:59,30,6
2026/07/09 09:30:53,⑤スペースセンタークルー,6,11:00,11:29,30,6
2026/07/09 09:30:53,⑤スペースセンタークルー,6,11:30,11:59,30,6
2026/07/09 09:30:53,⑤スペースセンタークルー,6,12:00,12:29,30,6
2026/07/09 09:30:53,⑤スペースセンタークルー,6,12:30,12:59,30,6
2026/07/09 09:30:53,⑤スペースセンタークルー,6,13:00,13:29,30,6
2026/07/09 09:30:53,⑤スペースセンタークルー,6,13:30,13:59,30,6
2026/07/09 09:30:53,⑤スペースセンタークルー,6,14:00,14:29,30,6
2026/07/09 09:30:53,⑥ロードサービス[隊員=たいいん],4,10:00,10:29,30,4
2026/07/09 09:30:53,⑥ロードサービス[隊員=たいいん],4,10:30,10:59,30,4
2026/07/09 09:30:53,⑥ロードサービス[隊員=たいいん],4,11:00,11:29,30,4
2026/07/09 09:30:53,⑥ロードサービス[隊員=たいいん],4,11:30,11:59,30,4
2026/07/09 09:30:53,⑥ロードサービス[隊員=たいいん],4,12:00,12:29,30,4
2026/07/09 09:30:53,⑥ロードサービス[隊員=たいいん],4,12:30,12:59,30,4
2026/07/09 09:30:53,⑥ロードサービス[隊員=たいいん],4,13:00,13:29,30,4
2026/07/09 09:30:53,⑥ロードサービス[隊員=たいいん],4,13:30,13:59,30,4
2026/07/09 09:30:53,⑥ロードサービス[隊員=たいいん],4,14:00,14:29,30,4
2026/07/09 09:30:53,⑧[建設=けんせつ]エンジニア,4,10:00,10:29,30,4
2026/07/09 09:30:53,⑧[建設=けんせつ]エンジニア,4,10:30,10:59,30,4
2026/07/09 09:30:53,⑧[建設=けんせつ]エンジニア,4,11:00,11:29,30,4
2026/07/09 09:30:53,⑧[建設=けんせつ]エンジニア,4,11:30,11:59,30,4
2026/07/09 09:30:53,⑧[建設=けんせつ]エンジニア,4,12:00,12:29,30,4
2026/07/09 09:30:53,⑧[建設=けんせつ]エンジニア,4,12:30,12:59,30,4
2026/07/09 09:30:53,⑨[警察官=けいさつかん],6,10:00,10:29,30,6
2026/07/09 09:30:53,⑨[警察官=けいさつかん],6,10:30,10:59,30,6
2026/07/09 09:30:53,⑨[警察官=けいさつかん],6,11:00,11:29,30,6
2026/07/09 09:30:53,⑨[警察官=けいさつかん],6,11:30,11:59,30,6
2026/07/09 09:30:53,⑨[警察官=けいさつかん],6,12:00,12:29,30,6
2026/07/09 09:30:53,⑨[警察官=けいさつかん],6,12:30,12:59,30,6
2026/07/09 09:30:53,⑨[警察官=けいさつかん],6,13:00,13:29,30,6
2026/07/09 09:30:53,⑨[警察官=けいさつかん],6,13:30,13:59,30,6
2026/07/09 09:30:53,⑨[警察官=けいさつかん],6,14:00,14:29,30,6
2026/07/09 09:30:53,⑩[自衛隊員=じえいたいいん],5,10:00,10:29,30,5
2026/07/09 09:30:53,⑩[自衛隊員=じえいたいいん],5,10:30,10:59,30,5
2026/07/09 09:30:53,⑩[自衛隊員=じえいたいいん],5,11:00,11:29,30,5
2026/07/09 09:30:53,⑩[自衛隊員=じえいたいいん],5,11:30,11:59,30,5
2026/07/09 09:30:53,⑩[自衛隊員=じえいたいいん],5,12:00,12:29,30,5
2026/07/09 09:30:53,⑩[自衛隊員=じえいたいいん],5,12:30,12:59,30,5
2026/07/09 09:30:53,⑩[自衛隊員=じえいたいいん],5,13:00,13:29,30,5
2026/07/09 09:30:53,⑩[自衛隊員=じえいたいいん],5,13:30,13:59,30,5
2026/07/09 09:30:53,⑩[自衛隊員=じえいたいいん],5,14:00,14:29,30,5
2026/07/09 09:30:53,⑪ドライバー/メカニック,4,10:00,10:29,30,4
2026/07/09 09:30:53,⑪ドライバー/メカニック,4,10:30,10:59,30,4
2026/07/09 09:30:53,⑪ドライバー/メカニック,4,11:00,11:29,30,4
2026/07/09 09:30:53,⑪ドライバー/メカニック,4,11:30,11:59,30,4
2026/07/09 09:30:53,⑪ドライバー/メカニック,4,12:00,12:29,30,4
2026/07/09 09:30:53,⑪ドライバー/メカニック,4,12:30,12:59,30,4
2026/07/09 09:30:53,⑪ドライバー/メカニック,4,13:00,13:29,30,4
2026/07/09 09:30:53,⑪ドライバー/メカニック,4,13:30,13:59,30,4
2026/07/09 09:30:53,⑪ドライバー/メカニック,4,14:00,14:29,30,4
2026/07/09 09:30:53,⑫ラジオパーソナリティ,6,10:00,10:29,30,6
2026/07/09 09:30:53,⑫ラジオパーソナリティ,6,10:30,10:59,30,6
2026/07/09 09:30:53,⑫ラジオパーソナリティ,6,11:00,11:29,30,6
2026/07/09 09:30:53,⑭ダンサー,4,12:30,12:54,25,4
2026/07/09 09:30:53,⑭ダンサー,4,12:55,13:19,25,4
2026/07/09 09:30:53,⑭ダンサー,4,13:30,13:54,25,4
2026/07/09 09:30:53,⑭ダンサー,4,14:05,14:29,25,4
2026/07/09 09:30:53,⑮[弁護士=べんごし],6,11:30,12:14,45,6
2026/07/09 09:30:53,⑯お医者さん,4,10:00,10:29,30,4
2026/07/09 09:30:53,⑯お医者さん,4,10:30,10:59,30,4
2026/07/09 09:30:53,⑯お医者さん,4,11:00,11:29,30,4
2026/07/09 09:30:53,⑯お医者さん,4,11:30,11:59,30,4
2026/07/09 09:30:53,⑰[助産師=じょさんし],4,10:05,10:29,25,4
2026/07/09 09:30:53,⑰[助産師=じょさんし],4,10:35,10:59,25,4
2026/07/09 09:30:53,⑰[助産師=じょさんし],4,11:05,11:29,25,4
2026/07/09 09:30:53,⑰[助産師=じょさんし],4,11:35,11:59,25,4
2026/07/09 09:30:53,⑰[助産師=じょさんし],4,12:05,12:29,25,4
2026/07/09 09:30:53,⑰[助産師=じょさんし],4,12:35,12:59,25,4
2026/07/09 09:30:53,⑰[助産師=じょさんし],4,13:05,13:29,25,4
2026/07/09 09:30:53,⑰[助産師=じょさんし],4,13:35,13:59,25,4
2026/07/09 09:30:53,⑱セキュリティスタッフ,5,10:00,10:29,30,5
2026/07/09 09:30:53,⑱セキュリティスタッフ,5,10:30,10:59,30,5
2026/07/09 09:30:53,⑱セキュリティスタッフ,5,11:30,11:59,30,5
2026/07/09 09:30:53,⑱セキュリティスタッフ,5,12:30,12:59,30,5
2026/07/09 09:30:53,⑱セキュリティスタッフ,5,13:30,13:59,30,5
2026/07/09 09:30:53,⑱セキュリティスタッフ 救命,5,11:00,11:29,30,5
2026/07/09 09:30:53,⑱セキュリティスタッフ 救命,5,12:00,12:29,30,5
