取得時刻,職業,定員,開始,終了,体験時間,残席
2026/07/07 10:30:47,②[引越=ひっこし]マスター,5,10:00,10:44,45,2
2026/07/07 10:30:47,②[引越=ひっこし]マスター,5,10:45,11:29,45,1
2026/07/07 10:30:47,②[引越=ひっこし]マスター,5,11:30,12:14,45,5
2026/07/07 10:30:47,②[引越=ひっこし]マスター,5,12:15,12:59,45,5
2026/07/07 10:30:47,②[引越=ひっこし]マスター,5,13:00,13:44,45,5
2026/07/07 10:30:47,②[引越=ひっこし]マスター,5,13:45,14:29,45,5
2026/07/07 10:30:47,③カードクター,4,12:30,12:59,30,3
2026/07/07 10:30:47,③カードクター,4,13:00,13:29,30,4
2026/07/07 10:30:47,③カードクター,4,13:30,13:59,30,4
2026/07/07 10:30:47,③カードクター,4,14:00,14:29,30,4
2026/07/07 10:30:47,④キャビンアテンダント,3,10:00,10:29,30,0
2026/07/07 10:30:47,④キャビンアテンダント,3,10:30,10:59,30,2
2026/07/07 10:30:47,④キャビンアテンダント,3,11:00,11:29,30,3
2026/07/07 10:30:47,④キャビンアテンダント,3,11:30,11:59,30,3
2026/07/07 10:30:47,④キャビンアテンダント,3,12:00,12:29,30,3
2026/07/07 10:30:47,④キャビンアテンダント,3,12:30,12:59,30,3
2026/07/07 10:30:47,④キャビンアテンダント,3,13:00,13:29,30,3
2026/07/07 10:30:47,④キャビンアテンダント,3,13:30,13:59,30,3
2026/07/07 10:30:47,④キャビンアテンダント,3,14:00,14:29,30,3
2026/07/07 10:30:47,④パイロット,6,10:00,10:29,30,1
2026/07/07 10:30:47,④パイロット,6,10:30,10:59,30,0
2026/07/07 10:30:47,④パイロット,6,11:00,11:29,30,4
2026/07/07 10:30:47,④パイロット,6,11:30,11:59,30,6
2026/07/07 10:30:47,④パイロット,6,12:00,12:29,30,6
2026/07/07 10:30:47,④パイロット,6,12:30,12:59,30,4
2026/07/07 10:30:47,④パイロット,6,13:00,13:29,30,6
2026/07/07 10:30:47,④パイロット,6,13:30,13:59,30,6
2026/07/07 10:30:47,④パイロット,6,14:00,14:29,30,6
2026/07/07 10:30:47,⑤スペースセンタークルー,6,10:00,10:29,30,0
2026/07/07 10:30:47,⑤スペースセンタークルー,6,10:30,10:59,30,0
2026/07/07 10:30:47,⑤スペースセンタークルー,6,12:30,12:59,30,0
2026/07/07 10:30:47,⑤スペースセンタークルー,6,13:00,13:29,30,6
2026/07/07 10:30:47,⑤スペースセンタークルー,6,13:30,13:59,30,6
2026/07/07 10:30:47,⑤スペースセンタークルー,6,14:00,14:29,30,6
2026/07/07 10:30:47,⑥ロードサービス[隊員=たいいん],4,11:30,11:59,30,2
2026/07/07 10:30:47,⑥ロードサービス[隊員=たいいん],4,12:00,12:29,30,3
